SDO_CODE,Longitude,Latitude,dir
4887,9.864791,48.665587,-2.094392449
7368,10.36211,51.000736,-2.094392449
1358,12.953583,50.428295,-2.094392449
1694,12.103404,53.605834,-2.094392449
5158,11.17586,52.160107,-2.094392449
4036,11.541221,51.389498,-2.094392449
853,12.871977,50.791286,-2.094392449
953,7.054245,49.761881,-2.094392449
4501,10.769601,50.654518,-2.094392449
3639,8.658362,53.764714,-2.094392449
5930,10.02377,54.640986,-2.094392449
3811,13.09283,51.29598,-2.094392449
3126,11.582674,52.102896,-2.094392449
2667,7.157524,50.864547,-2.094392449
1803,12.323764,54.071364,-2.094392449
298,12.710848,54.340527,-1.919859524
433,13.401981,52.467551,-1.919859524
3362,8.873462,48.972073,-1.919859524
1759,13.910203,54.24373,-1.919859524
5546,12.458559,52.120644,-1.919859524
3905,6.447635,49.521403,-1.919859524
5877,10.800223,54.31598,-1.919859524
5871,7.264495,49.946281,-1.919859524
3086,10.698941,53.802512,-1.919859524
2483,8.489068,51.180254,-1.919859524
4271,12.080806,54.180279,-1.745326598
13701,9.988501,51.19452,-1.745326598
303,13.499731,52.061303,-1.745326598
2564,10.142375,54.377582,-1.745326598
7391,8.966935,49.556099,-1.745326598
840,12.611421,50.431251,-1.745326598
6314,13.300254,51.050698,-1.745326598
1832,13.133791,49.112887,-1.745326598
183,13.434416,54.679109,-1.745326598
596,11.19082,54.002724,-1.745326598
3987,13.06223,52.381247,-1.745326598
3098,7.642497,51.245158,-1.570793673
2349,8.203343,48.613637,-1.570793673
5109,13.303907,53.599793,-1.570793673
2961,10.273687,54.499614,-1.570793673
4024,13.477079,54.364277,-1.570793673
15120,8.701925,51.557178,-1.570793673
3897,10.877341,54.08933,-1.570793673
403,13.301731,52.453711,-1.570793673
722,10.61828,51.798615,-1.570793673
3196,11.932143,53.32222,-1.570793673
6101,11.671881,54.132325,-1.570793673
4279,6.386273,50.304649,-1.570793673
5078,10.889158,53.961947,-1.570793673
1757,13.405565,54.096704,-1.570793673
2044,11.136645,51.651967,-1.396260748
15520,12.295636,47.819005,-1.396260748
5516,11.060556,54.528292,-1.396260748
4625,11.387095,53.642425,-1.396260748
5792,10.984761,47.421037,-1.396260748
1550,11.062126,47.482989,-1.047194898
