SDO_CODE,Longitude,Latitude,dir
368,9.924809,52.815233,-3.14159
5319,9.707645,47.916658,-2.967057075
4094,9.620579,47.806248,-2.967057075
7341,8.786165,50.08995,-2.967057075
2597,10.079245,50.223991,-2.967057075
2773,11.90159,49.428348,-2.967057075
2023,10.706234,48.791834,-2.967057075
15190,6.434935,51.680167,-2.967057075
2171,9.737694,50.851957,-2.967057075
13676,12.032303,48.860817,-2.967057075
2907,8.951446,54.790294,-2.967057075
5851,8.8769,51.0806,-2.967057075
4911,12.559695,48.827504,-2.967057075
7394,11.974501,50.031507,-2.967057075
3231,10.377137,50.561131,-2.79252415
3484,11.214669,48.708492,-2.79252415
4745,9.793049,52.960408,-2.79252415
691,8.798084,53.04507,-2.79252415
2252,14.745622,50.899151,-2.79252415
4039,9.87757,53.733089,-2.79252415
3254,7.317616,52.715468,-2.79252415
1993,9.389576,52.084784,-2.79252415
5397,12.184448,49.666221,-2.79252415
3321,6.360819,51.131263,-2.79252415
1639,8.643898,50.601715,-2.79252415
5347,9.111774,51.50392,-2.79252415
6108,9.419156,53.71965,-2.79252415
880,14.316799,51.775938,-2.79252415
1078,6.768626,51.295968,-2.79252415
5100,6.658305,49.747891,-2.79252415
3032,8.412531,55.010989,-2.79252415
4931,9.223548,48.688265,-2.79252415
4177,8.330081,48.972627,-2.79252415
2303,9.538516,54.316169,-2.79252415
2573,12.771663,47.958838,-2.79252415
4280,11.103514,49.216232,-2.79252415
7374,6.940893,52.0813,-2.79252415
3244,10.13838,47.982065,-2.79252415
5800,13.238509,49.028013,-2.79252415
15122,10.285397,49.520012,-2.79252415
6197,9.271007,51.866393,-2.79252415
13901,7.199836,51.734258,-2.79252415
963,8.342405,52.588112,-2.79252415
4225,12.535961,49.219531,-2.79252415
7392,10.448658,50.333247,-2.79252415
5440,10.930837,49.01153,-2.79252415
5412,8.196437,47.680213,-2.79252415
15444,9.921613,48.441768,-2.79252415
662,10.446448,52.291469,-2.79252415
13932,13.193778,48.361736,-2.79252415
1886,10.260783,48.487813,-2.79252415
1420,8.521294,50.025911,-2.79252415
13965,8.813418,48.263864,-2.79252415
5404,11.694552,48.402404,-2.617991224
6344,8.142276,50.393972,-2.617991224
2261,11.876039,50.312257,-2.617991224
3376,14.123225,52.517597,-2.617991224
4466,9.548666,54.527539,-2.617991224
15207,9.358959,51.283452,-2.617991224
1443,7.834292,48.023242,-2.617991224
13711,11.515024,50.681954,-2.617991224
2290,11.010819,47.800869,-2.617991224
342,8.16943,52.317043,-2.617991224
1572,6.039191,50.959253,-2.617991224
642,8.496943,53.35176,-2.617991224
5839,7.228716,53.388122,-2.617991224
1766,7.696859,52.134375,-2.617991224
3946,12.130043,50.481832,-2.617991224
5715,9.424454,52.462608,-2.617991224
6159,7.319679,52.954199,-2.617991224
164,13.99082,53.031558,-2.617991224
460,6.686776,49.264058,-2.617991224
1200,9.010547,54.069146,-2.617991224
850,10.029585,52.59591,-2.617991224
1468,8.408952,48.453828,-2.617991224
3167,7.960264,50.662061,-2.617991224
15189,12.593625,53.828116,-2.617991224
3623,6.660063,50.829354,-2.617991224
161,7.420171,50.423665,-2.617991224
5327,9.397448,49.578869,-2.617991224
13952,8.009389,51.408855,-2.617991224
15214,10.807482,47.624753,-2.617991224
6196,12.038633,50.158673,-2.617991224
5779,13.751612,50.731347,-2.617991224
15000,6.02439,50.798281,-2.617991224
1503,7.901969,53.064301,-2.617991224
2485,9.687101,48.917038,-2.617991224
3660,6.869659,50.360174,-2.443458299
2429,9.569692,53.989731,-2.443458299
7389,13.842702,52.746142,-2.443458299
5629,12.644598,51.889124,-2.443458299
6103,11.261625,47.428678,-2.443458299
2856,13.087762,51.917335,-2.443458299
2437,9.520317,54.456985,-2.443458299
15044,7.405769,50.451705,-2.443458299
2925,10.312349,51.393197,-2.443458299
3925,8.697265,48.932916,-2.443458299
1303,6.967741,51.404085,-2.443458299
3366,12.502407,48.278982,-2.443458299
2638,8.754788,48.105397,-2.443458299
788,8.858369,54.119305,-2.443458299
6163,10.351887,54.165444,-2.443458299
1048,13.754251,51.127797,-2.443458299
5856,13.353159,48.545114,-2.443458299
1490,9.479522,47.645363,-2.443458299
2886,9.909736,48.217539,-2.443458299
5640,7.6625,53.544444,-2.443458299
232,10.941681,48.425292,-2.443458299
3158,14.54525,52.546778,-2.443458299
1869,13.933856,53.315357,-2.443458299
603,7.204024,50.729285,-2.443458299
2385,7.326328,49.692695,-2.443458299
13693,8.311056,51.925818,-2.443458299
656,10.602109,51.723383,-2.443458299
704,9.13903,53.445118,-2.443458299
2014,9.677906,52.464428,-2.443458299
